Timestamp,NPS,Version,Comments
"8/7/2025, 7:00:54.816 AM",0,1.34.0,"Please stop making us reauthenticate the connection twice and solve the problems with opened connections that end up don't executing the query (i.e. the conection is open, we don't know if the query is running or not, and we end up opening multiple connections that in the program don't seem to be executing)"
"8/1/2025, 7:07:22.357 PM",0,1.34.0,running queries always take forever. also give me back sql notebooks from azure data studio.
"7/31/2025, 2:17:46.385 PM",0,1.34.0,
"7/25/2025, 7:02:28.737 AM",0,1.34.0,- SQL Server Profiler : https:/<REDACTED: user-file-path> - No success or error query execution indicator in status bar - Having total line count in result sets - lot of bug when a query return many result sets - We are far from quality software like SSMS or ADS...
"8/17/2025, 11:38:59.983 PM",0,1.34.1,なんどF5を押しても、接続できない＆クエリーを実行できないことが頻発する。
"8/15/2025, 1:24:31.485 PM",0,1.34.1,"Within my private circle of people, I tend not to speak about programming in much detail, so recommending is highly unlikely. At work, everyone else is already using it."
"7/29/2025, 10:32:06.568 PM",1,1.34.0,
"8/18/2025, 9:29:13.406 AM",1,1.34.1,Query execution has lot of issues and very slow.
"8/11/2025, 11:14:45.81 AM",2,1.34.0,workflow needs vast improvment. Unable to view two queries at once is bad. Im not even able to quickly create a new window of the same database (i need to reconnect each time) What was wront with azure data studio?
"8/7/2025, 10:59:16.924 AM",2,1.34.0,It does not co-exist well with the postgresql extension. I much preferred Azure Data Studio. There are issues with sp_blitzwho getting live query plans doesn't render in vscode but worked well in ADS. Overall the mssql extension is a poor cousin to ADS.
"8/3/2025, 9:41:12.453 PM",2,1.34.0,"If this is supposed to the replacement for Azure Data Studio, it needs to be much more like Azure Data Studio in behaviour. At the moment it feels like an afterthought add-on, with integration feeling very clunkly. The are to many things to list here at the moment that need improvement, but the most pressing issue is that every time I make a new query into a data base I have to re-authenticate. This is infuriating when I am making multiple new queries a minute as part of a data investigation. Once I have authenticated to a particular server, there should be a sensible length of time before I need to re-authenticate to that database, e.g. wait at least 1 hour before needing to re-authenticate to a particular server."
"7/31/2025, 5:42:02.297 PM",2,1.34.0,Not sure what it was asking for after update. KeyChain?
"7/31/2025, 5:42:02.297 PM",2,1.34.0,Not sure what it was asking for after update. KeyChain?
"7/31/2025, 1:58:14.903 AM",2,1.34.0,
